商品名称,商品图片,店铺名,商品售价,国家/地区,商品分类,佣金比例,销量,销量环比,总销量,总销售额,销售额,商品上架时间,店铺总销量,TikTok官网商品详情页,商品状态
"PAPA FEEL Crema de Ojos con Péptido 5D – 15g. Fórmula ligera que ayuda a mejorar la apariencia de líneas finas, bolsas y ojeras, brindando un cuidado suave para todo tipo de piel",https://s.500fd.com/tt_product/64e2b423050a45eb907742fe7af319d2~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg,PAPA FEEL MX,$297.00 ,MX,美妆个护-美容护肤-眼部护理,10%,8287,-47.73%,25451,7496161.98,2461223.34,2025/6/16 2:15,48173,https://shop.tiktok.com/view/product/1731436072751892434?region=MX&local=en,在售
"【Promoción Viral de Belleza en TikTok】QUARXERY Gel Exfoliante Suave (Tipo Especial para Cuidados de Piel · Fórmula Actualizada · Envío Gratis a Domicilio) — Rostro & Cuerpo: Limpieza profunda, poros claros desde la primera use, hidrata y controla grasa, piel uniforme y luminosa sin irritación! 50g-D",https://s.500fd.com/tt_product/bc78fe2fd95343369b7fefcb137d923a~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg,QUARXERY Belleza,$129.00 ,MX,美妆个护-美容护肤-面部磨砂膏与去角质,10%,4601,251.22%,6323,800373,595971,2025/8/26 0:37,20722,https://shop.tiktok.com/view/product/1732185506993309047?region=MX&local=en,在售
"【Promoción Viral de Marca en TikTok】QUARXERY Gel Exfoliante Mejorado (Envío Gratis a Domicilio) — Limpieza profunda para rostro y cuerpo! Elimina puntos negros con alta eficacia, controla grasa, hidrata, ilumina la piel y reduce pigmentación， 50g-C",https://s.500fd.com/tt_product/37df2081c41347f5bc7235a97b2b7ac8~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg,QUARXERY Belleza,$129.00 ,MX,美妆个护-美容护肤-面部磨砂膏与去角质,-,4259,142.40%,6288,833251,483173,2025/8/17 10:00,20722,https://shop.tiktok.com/view/product/1732120693409416567?region=MX&local=en,在售
"WEUD Crema hidratante definitiva Youth Formula (100g) / colágeno, niacinamida, centella asiática, ácido hialurónico / arrugas, manchas oscuras, cuidado de la piel",https://s.500fd.com/tt_product/a87659230db94473b49d0869770c370f~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg,WEUD MX,$228.00 ,MX,美妆个护-美容护肤-保湿乳液、乳霜与喷雾,20%,4009,-55.76%,57407,13177067.8,878478.8,2025/4/29 3:02,141574,https://shop.tiktok.com/view/product/1731270623385585586?region=MX&local=en,在售
"@PAPA FEEL Crema de Ojos con Péptido 5D – 15g. Fórmula ligera que ayuda a mejorar la apariencia de líneas finas, bolsas y ojeras, brindando un cuidado suave para todo tipo de piel",https://s.500fd.com/tt_product/64e2b423050a45eb907742fe7af319d2~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg,PAPA FEEL MX,$297.00 ,MX,美妆个护-美容护肤-眼部护理,10%,3901,-5.15%,8114,2410041.36,1158589.11,2025/8/1 0:18,48173,https://shop.tiktok.com/view/product/1732067544844961746?region=MX&local=en,在售
"Sérum para el crecimiento de pestañas 5ML para lograr pestañas más largas y densas, desarrollado por científicos antienvejecimiento, con una fórmula limpia.",https://s.500fd.com/tt_product/dd734de4771b4dbd8fe23c2c3f9712b6~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg,CHOCHIS,$189.00 ,MX,美妆个护-美容护肤-眼部护理,-,3147,217.88%,4216,810646,594783,2025/7/11 6:47,7894,https://shop.tiktok.com/view/product/1731828287171167367?region=MX&local=en,在售
PAPA FEEL 3X Retinol Crema Facial 30g Antiarrugas y hidratante  para Todo Tipo de Piel con Distribución Uniforme del Tono y Piel Radiante ApplyRe-generate,https://s.500fd.com/tt_product/24e27bba691648bc9244991ca870d8c5~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg,PAPA FEEL MX,$258.00 ,MX,美妆个护-美容护肤-保湿乳液、乳霜与喷雾,10%,2377,947.14%,2656,687512.21,615531,2025/8/21 11:01,48173,https://shop.tiktok.com/view/product/1732077829432641490?region=MX&local=en,在售
【envío gratuito】GMEELAN Enzimas Naranja Gel Exfoliante 50G,https://s.500fd.com/tt_product/590402961fa24982b9ad53d617609377~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg,GMEELAN.MX,$89.00 - 229.00,MX,美妆个护-美容护肤-面部磨砂膏与去角质,-,2355,256.28%,6342,532700.6,209595,2025/8/29 1:16,17053,https://shop.tiktok.com/view/product/1732139047770621160?region=MX&local=en,在售
"Crema Hidratante con Niacinamida y Centella Asiática – Hidratación Profunda, Control de Sebo y Reparación de la Piel",https://s.500fd.com/tt_product/304910d7f8a64373a9fb905a514ba78c~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg,LUME MX,$119.00 ,MX,美妆个护-美容护肤-保湿乳液、乳霜与喷雾,-,2177,74.86%,3427,490153,295223,2025/7/29 17:59,5338,https://shop.tiktok.com/view/product/1732011397615683318?region=MX&local=en,在售
【XY】QUARXERY Gel Exfoliante Suave para una Limpieza Profunda 50g,https://s.500fd.com/tt_product/2c505d65a08e47bb90af710c49e4cc33~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg,QUARXERY MEXICO,$199.00 ,MX,美妆个护-美容护肤-面部磨砂膏与去角质,15%,2138,82.11%,13389,2666436.1,239482,2025/4/7 11:55,180235,https://shop.tiktok.com/view/product/1731106368253625737?region=MX&local=en,在售
